City,Country,alpha-2,alpha-3,region,sub-region,full.location.name,latitude,longitude,TMN,ETMN,African Food Security Urban Network (AFSUN),Alpine Pearls,Arab Towns Organization (ATO),Assembly of European Regions (AER),Association Internationale des Maires Francophones (AIMF),Cities for Local Integration Policy (CLIP),Commonwealth Local Government Forum (CLGF),Congress of Local and Regional Authorities,Connecting Cities,Council of European Municipalities and Regions (CEMR),DELGOSEA - Partnership for Democratic Local Governance in Southeast Asia,European Association for Local Democracy (ALDA),European Cities Against Drugs (ECAD),European Coalition of City Against Racism (ECCAR),European Forum for Urban Security (EFUS),European Network Child Friendly Cities (ENCFC),European Walled Towns (EWT),Eurotowns,Fem Cities,Global Cultural Districts Network (GCDN),Hungry Cities Partnership (HCP),International Association of Peace Messenger Cities (IAPMC),International Association of Public Transport (UITP),League of Historical Cities,Local Government Network of Central and Eastern European Countries (CEEC-LOGON),Mayors for Peace,Network of Associations of Local Authorities of South-East Europe (NALAS),Organisation of World Heritage Cities (OWHC),Strong Cities Network (SCN),UN Advisory Committee of Local Authorities (UNACLA),UNESCO Creative Cities Network (CCN),UNESCO Global Network of Learning Cities (GNLC),Union of Ibero-American Capital Cities (UCCI),URBACT - 2nd Chance,URBACT - Arrival Cities,URBACT - BoostInno,URBACT - Change!,URBACT - CityCentre Doctor,URBACT - Freight TAILS,URBACT - In Focus,URBACT - Interactive Cities,URBACT - Maps,URBACT - Procure,URBACT - Refill,URBACT - RetaiL link,URBACT - Smart Impact,URBACT - Sub>urban,URBACT - TechTown,URBACT - Vital Cities,URBACT Gen-Y City,WHO Alliance for Healthy Cities (AFHC),WHO Global Network of Age-friendly cities,World Cities Culture Forum,100 Resilient Cities,Asian Network of Major Cities 21,Cities Alliance,Cities and Climate Change Initiative (CCCI),Cities for Mobility,City Protocol,CityNet,Climate Alliance,Climate Leadership Group (C40),Covenant of Mayors for Climate & Energy (CoM),Energy Cities,Eurocities,Global Compact Cities Programme,Global Parliament of Mayors,IADB Emerging and Sustainable Cities (ESC),International Council for Local Environmental Initiatives (ICLEI),International Solar Cities Initiative (ISCI),Kitakyushu Initiative for a Clean Environment,Local Renewables Initiative,Mediterranean Cities Network (MedCities),Nordic City Network,Polis,Sharing Cities,Sustainable Cities International (SCI),UNIDO Eco-Cities Network in Southeast Asia,Union of the Baltic Cities (UBC),URBACT - Agri-Urban,URBACT - CityMobilNet,URBACT - Resilient Europe,World Association of Major Metropolises (METROPOLIS),World Mayors Council on Climate Change (WCMMM)
Asad Abad,Afghanistan,AF,AFG,Asia,Southern Asia,"Asad Abad, Afghanistan",34.8742638,71.1537637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamiyan,Afghanistan,AF,AFG,Asia,Southern Asia,"Bamiyan, Afghanistan",34.8100067,67.8212104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaharbagh,Afghanistan,AF,AFG,Asia,Southern Asia,"Chaharbagh, Afghanistan",34.532429,70.287338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faryab,Afghanistan,AF,AFG,Asia,Southern Asia,"Faryab, Afghanistan",36.0795613,64.905955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feyzabad,Afghanistan,AF,AFG,Asia,Southern Asia,"Feyzabad, Afghanistan",37.1017088,70.5552362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herat,Afghanistan,AF,AFG,Asia,Southern Asia,"Herat, Afghanistan",34.352865,62.2040287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kabul,Afghanistan,AF,AFG,Asia,Southern Asia,"Kabul, Afghanistan",34.5553494,69.207486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khal-Khallan,Afghanistan,AF,AFG,Asia,Southern Asia,"Khal-Khallan, Afghanistan",33.0194444,63.835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamadyar,Afghanistan,AF,AFG,Asia,Southern Asia,"Mohamadyar, Afghanistan",30.7477778,63.2130556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taynal,Afghanistan,AF,AFG,Asia,Southern Asia,"Taynal, Afghanistan",33.457161,66.521736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirana,Albania,AL,ALB,Europe,Southern Europe,"Tirana, Albania",41.3275459,19.8186982,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gjirokastër,Albania,AL,ALB,Europe,Southern Europe,"Gjirokastër, Albania",40.0672874,20.1045229,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiranë,Albania,AL,ALB,Europe,Southern Europe,"Tiranë, Albania",41.3275459,19.8186982,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durrës,Albania,AL,ALB,Europe,Southern Europe,"Durrës, Albania",41.3245904,19.4564686,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elbasan,Albania,AL,ALB,Europe,Southern Europe,"Elbasan, Albania",41.11023,20.0866554,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fier,Albania,AL,ALB,Europe,Southern Europe,"Fier, Albania",40.727504,19.5627596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gjirokastra,Albania,AL,ALB,Europe,Southern Europe,"Gjirokastra, Albania",40.0672874,20.1045229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gramsh,Albania,AL,ALB,Europe,Southern Europe,"Gramsh, Albania",40.8669873,20.1849323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korça,Albania,AL,ALB,Europe,Southern Europe,"Korça, Albania",40.6140785,20.7778071,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukës,Albania,AL,ALB,Europe,Southern Europe,"Kukës, Albania",42.080746,20.414292,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lezhë,Albania,AL,ALB,Europe,Southern Europe,"Lezhë, Albania",41.786073,19.6460758,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plug,Albania,AL,ALB,Europe,Southern Europe,"Plug, Albania",40.9492578,19.6654188,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prrenjas,Albania,AL,ALB,Europe,Southern Europe,"Prrenjas, Albania",41.0714827,20.5483612,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roskovec,Albania,AL,ALB,Europe,Southern Europe,"Roskovec, Albania",40.737941,19.704107,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkoder,Albania,AL,ALB,Europe,Southern Europe,"Shkoder, Albania",42.0692985,19.5032559,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodër,Albania,AL,ALB,Europe,Southern Europe,"Shkodër, Albania",42.0692985,19.5032559,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlore,Albania,AL,ALB,Europe,Southern Europe,"Vlore, Albania",40.4660668,19.491356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STIF,Algeria,DZ,DZA,Africa,Northern Africa,"STIF, Algeria",36.1969027,5.4150871,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Saida,Algeria,DZ,DZA,Africa,Northern Africa,"Saida, Algeria",34.841201,0.148431,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Algiers,Algeria,DZ,DZA,Africa,Northern Africa,"Algiers, Algeria",36.753768,3.0587561,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Timimoun,Algeria,DZ,DZA,Africa,Northern Africa,"Timimoun, Algeria",29.2609217,0.2385387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tebessa,Algeria,DZ,DZA,Africa,Northern Africa,"Tebessa, Algeria",35.4142494,8.101092,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrar,Algeria,DZ,DZA,Africa,Northern Africa,"Adrar, Algeria",27.9716342,-0.1869644,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aïn Madhi,Algeria,DZ,DZA,Africa,Northern Africa,"Aïn Madhi, Algeria",33.7946585,2.2999821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annaba,Algeria,DZ,DZA,Africa,Northern Africa,"Annaba, Algeria",36.9264582,7.7525352,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batna,Algeria,DZ,DZA,Africa,Northern Africa,"Batna, Algeria",35.5610218,6.1739116,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bejaia,Algeria,DZ,DZA,Africa,Northern Africa,"Bejaia, Algeria",36.75089,5.056733,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biskra,Algeria,DZ,DZA,Africa,Northern Africa,"Biskra, Algeria",34.837035,5.751048,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blida,Algeria,DZ,DZA,Africa,Northern Africa,"Blida, Algeria",36.479868,2.800568,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouira,Algeria,DZ,DZA,Africa,Northern Africa,"Bouira, Algeria",36.3739318,3.8987568,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlef,Algeria,DZ,DZA,Africa,Northern Africa,"Chlef, Algeria",36.147424,1.3083685,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constantine,Algeria,DZ,DZA,Africa,Northern Africa,"Constantine, Algeria",36.360155,6.642433,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djelfa,Algeria,DZ,DZA,Africa,Northern Africa,"Djelfa, Algeria",34.6751691,3.2684215,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghardaïa,Algeria,DZ,DZA,Africa,Northern Africa,"Ghardaïa, Algeria",32.4902246,3.6738412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guelma,Algeria,DZ,DZA,Africa,Northern Africa,"Guelma, Algeria",36.458976,7.4327273,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
