CITY,Country,full.location.name,latitude.y,longitude.y,TMN,ETMN
Aa en Hunze,Netherlands,"Aa en Hunze, Netherlands",53.0104848,6.7495285,1,
Aachen,Germany,"Aachen, Germany",50.7753455,6.0838868,3,2
Aalborg,Denmark,"Aalborg, Denmark",57.0488195,9.921747,3,3
Aalen,Germany,"Aalen, Germany",48.8366887,10.0971163,2,1
Aalst,Belgium,"Aalst, Belgium",50.9378101,4.0409517,1,
Aarau,Switzerland,"Aarau, Switzerland",47.390434,8.0457015,1,
Aarbergen,Germany,"Aarbergen, Germany",50.2482114,8.0814608,1,
Aarhus,Denmark,"Aarhus, Denmark",56.162939,10.203921,8,4
Aarschot,Belgium,"Aarschot, Belgium",50.9859959,4.8365218,1,
Abadan,"Iran, Islamic Republic of","Abadan, Iran, Islamic Republic of",30.347296,48.2934004,1,
Abadeh,"Iran, Islamic Republic of","Abadeh, Iran, Islamic Republic of",31.1594661,52.6439902,1,
Abadeh Tashk,"Iran, Islamic Republic of","Abadeh Tashk, Iran, Islamic Republic of",29.8095933,53.7287807,1,
Abaetetuba,Brazil,"Abaetetuba, Brazil",-1.7222475,-48.8792245,1,
Abali,"Iran, Islamic Republic of","Abali, Iran, Islamic Republic of",35.762979,51.9659538,1,
Abanto-Zierbena,Spain,"Abanto-Zierbena, Spain",43.3168794,-3.0876783,2,1
Abarkouh,"Iran, Islamic Republic of","Abarkouh, Iran, Islamic Republic of",31.1304036,53.2503736,1,
Abbadia Lariana,Italy,"Abbadia Lariana, Italy",45.8948976,9.3363419,1,1
Abbasabad,"Iran, Islamic Republic of","Abbasabad, Iran, Islamic Republic of",36.7240776,51.1141183,1,
Abbateggio,Italy,"Abbateggio, Italy",42.2256293,14.0107077,1,
Abbiategrasso,Italy,"Abbiategrasso, Italy",45.3775532,8.8894145,1,1
Abdan,"Iran, Islamic Republic of","Abdan, Iran, Islamic Republic of",28.0761099,51.7704355,1,
Abéché,Chad,"Abéché, Chad",13.8359124,20.8433709,1,
Abengourou,Cote d'Ivoire,"Abengourou, Cote d'Ivoire",6.7156982,-3.4801349,1,
Abeokuta South,Nigeria,"Abeokuta South, Nigeria",7.1453088,3.3590446,1,1
Aberdeen,United Kingdom,"Aberdeen, United Kingdom",57.149717,-2.094278,4,2
Aberystwyth,United Kingdom,"Aberystwyth, United Kingdom",52.415303,-4.08292,1,
Abeshahmad,"Iran, Islamic Republic of","Abeshahmad, Iran, Islamic Republic of",39.0484318,47.3159944,1,
Abgarm,"Iran, Islamic Republic of","Abgarm, Iran, Islamic Republic of",35.7599414,49.2866779,1,
Abha,Saudi Arabia,"Abha, Saudi Arabia",18.2464685,42.5117238,1,
Abhar,"Iran, Islamic Republic of","Abhar, Iran, Islamic Republic of",36.1524763,49.2385339,1,
Abibigloo,"Iran, Islamic Republic of","Abibigloo, Iran, Islamic Republic of",37.916998,45.9737657,1,
Abidjan,Cote d'Ivoire,"Abidjan, Cote d'Ivoire",5.3599517,-4.0082563,4,1
Abiko,Japan,"Abiko, Japan",35.8641227,140.0282255,1,
Abingdon,United Kingdom,"Abingdon, United Kingdom",51.67078,-1.2879529,1,
Aboisso,Cote d'Ivoire,"Aboisso, Cote d'Ivoire",5.4745106,-3.2030756,1,
Abomey,Benin,"Abomey, Benin",7.1854773,1.9979411,1,
Abrantes,Portugal,"Abrantes, Portugal",39.4621054,-8.1986484,1,1
Abrera,Spain,"Abrera, Spain",41.5175266,1.9017802,1,
Abrisham,"Iran, Islamic Republic of","Abrisham, Iran, Islamic Republic of",32.5669677,51.5728539,1,
Abruzzo,Italy,"Abruzzo, Italy",42.1920119,13.7289167,1,
Absam,Austria,"Absam, Austria",47.2970596,11.5121833,1,1
Absard,"Iran, Islamic Republic of","Absard, Iran, Islamic Republic of",35.6205033,52.155395,1,
Abtsgmuend,Germany,"Abtsgmuend, Germany",48.8910782,10.001692,1,
Abu Alkahsseep,Jordan,"Abu Alkahsseep, Jordan",32.3312977,36.2110267,1,
Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",24.453884,54.3773438,2,
Abu Ghosh,Israel,"Abu Ghosh, Israel",31.806293,35.109193,1,
Abuja,Nigeria,"Abuja, Nigeria",9.0764785,7.398574,2,
Abumusa,United Arab Emirates,"Abumusa, United Arab Emirates",25.8797106,55.0328017,1,
Abyek,"Iran, Islamic Republic of","Abyek, Iran, Islamic Republic of",36.040428,50.5446161,1,
Acajutla,El Salvador,"Acajutla, El Salvador",13.5957,-89.8270894,1,
Acapulco,Mexico,"Acapulco, Mexico",16.8531086,-99.8236533,2,1
Acciano,Italy,"Acciano, Italy",42.1837256,13.7173325,1,1
Acco,United States,"Acco, New York, United States",44.679902,-75.523653,1,
Accra,Ghana,"Accra, Ghana",5.6037168,-0.1869644,4,3
Acerra,Italy,"Acerra, Italy",40.9441091,14.371438,1,1
Acevedo,Colombia,"Acevedo, Colombia",1.805165,-75.88834,1,
Acheres,France,"Acheres, France",48.960796,2.0700219,1,
Achim,Germany,"Achim, Germany",53.0092,9.0510401,2,1
Achiras,Argentina,"Achiras, Argentina",-33.1677208,-65.0006104,1,
Achtkarspelen,Netherlands,"Achtkarspelen, Netherlands",53.2103566,6.1535651,1,
Achuapa,Nicaragua,"Achuapa, Nicaragua",13.0522213,-86.589276,1,
Acireale,Italy,"Acireale, Italy",37.607802,15.166736,1,
Açores,Portugal,"Açores, Portugal",37.7412488,-25.6755944,1,
Acosta,United States,"Acosta, Pennsylvania, United States",40.1093917,-79.0704586,1,
Acoyapa,Nicaragua,"Acoyapa, Nicaragua",11.9704589,-85.171266,1,
Acquaformosa,Italy,"Acquaformosa, Italy",39.7239373,16.0917063,1,
Acquafredda,Italy,"Acquafredda, Italy",45.307308,10.4108698,1,
Acre,Brazil,"Acre, Brazil",-9.0237964,-70.8119953,1,
Acri,Italy,"Acri, Italy",39.488691,16.3828566,1,
Adaklu-Anyigbe,Ghana,"Adaklu-Anyigbe, Ghana",6.4501114,0.4879916,1,
Addis Ababa,Ethiopia,"Addis Ababa, Ethiopia",8.9806034,38.7577605,6,5
Adéane,Senegal,"Adéane, Senegal",12.6267874,-16.0140586,1,
Adelaide,Australia,"Adelaide, Australia",-34.9284989,138.6007456,5,2
Adelia Maria,Argentina,"Adelia Maria, Argentina",-33.6326215,-64.021599,1,
Adelmannsfelden,Germany,"Adelmannsfelden, Germany",48.9543031,10.0033822,1,
Aden,Yemen,"Aden, Yemen",12.7854969,45.0186548,2,
Adendorf,Germany,"Adendorf, Germany",53.2858056,10.4483101,1,1
AdEPorto,Portugal,"AdEPorto, Portugal",41.1534831,-8.6112778,1,1
Adidome-North Tongu,Ghana,"Adidome-North Tongu, Ghana",6.0729743,0.5116066,1,
Adigrat,Ethiopia,"Adigrat, Ethiopia",14.278304,39.4605612,1,
Adimi,"Iran, Islamic Republic of","Adimi, Iran, Islamic Republic of",31.1158746,61.4114482,1,
Adjara,Georgia,"Adjara, Georgia",41.6005626,42.0688383,1,
Adrar,Algeria,"Adrar, Algeria",27.9716342,-0.1869644,1,
Adria,Italy,"Adria, Italy",45.0555487,12.0560381,1,
Aesch,Switzerland,"Aesch, Switzerland",47.4672734,7.5979344,1,
Affligem,Belgium,"Affligem, Belgium",50.9084,4.11281,1,
Afgoye,Somalia,"Afgoye, Somalia",2.1426226,45.1167167,1,
Afiesl,Austria,"Afiesl, Austria",48.58184,14.12724,1,1
Afif,Saudi Arabia,"Afif, Saudi Arabia",23.9052203,42.9124955,1,
Aflenz,Austria,"Aflenz, Austria",47.5436309,15.2380898,1,1
Aflenz-Kurort,Austria,"Aflenz-Kurort, Austria",47.5436309,15.2380898,1,
Afzar,"Iran, Islamic Republic of","Afzar, Iran, Islamic Republic of",35.7857756,51.4222695,1,
Agadez,Niger,"Agadez, Niger",16.9741689,7.986535,2,
Agadir,Morocco,"Agadir, Morocco",30.4277547,-9.5981072,3,1
Agawam,United States,"Agawam, Massachusetts, United States",42.0695391,-72.6148117,1,
Agbado,Nigeria,"Agbado, Nigeria",6.1719001,7.8367954,1,1
Agdam,Azerbaijan,"Agdam, Azerbaijan",39.9931853,46.9949562,1,
Ager,United States,"Ager, California, United States",41.8662529,-122.4605772,1,
Aghajari,"Iran, Islamic Republic of","Aghajari, Iran, Islamic Republic of",30.6907753,49.8240194,1,
Aghda,"Iran, Islamic Republic of","Aghda, Iran, Islamic Republic of",32.3838345,53.5723002,1,
Aghghala,"Iran, Islamic Republic of","Aghghala, Iran, Islamic Republic of",37.0141367,54.4506304,1,
Agia Napa,Cyprus,"Agia Napa, Cyprus",34.9922836,34.0140113,1,
Agias,Greece,"Agias, Greece",39.6416158,22.4298213,1,
Agioi Anargyroi-Kamatero,Greece,"Agioi Anargyroi-Kamatero, Greece",38.0551278,23.697829,2,2
Agios Athanasios,Greece,"Agios Athanasios, Greece",40.8407907,21.7697318,1,1
Agjalar,Iraq,"Agjalar, Iraq",35.6770591,44.9101759,1,
Aglantzia,Cyprus,"Aglantzia, Cyprus",35.139489,33.4047109,2,
Agramunt,Spain,"Agramunt, Spain",41.7871869,1.0979794,1,
Agrate Brianza,Italy,"Agrate Brianza, Italy",45.5729757,9.3535417,1,1
Agres,Spain,"Agres, Spain",38.7808327,-0.5157406,1,1
Agrón,Spain,"Agrón, Spain",37.0300898,-3.8292747,1,1
Agropoli,Italy,"Agropoli, Italy",40.3486827,14.9912195,1,1
Aguadulce,Spain,"Aguadulce, Spain",37.2530072,-4.9928972,1,1
Aguas Buenas,Puerto Rico,"Aguas Buenas, Puerto Rico",18.2568989,-66.1029442,1,
Aguascalientes,Mexico,"Aguascalientes, Mexico",21.8852562,-102.2915677,3,2
Agueda,Portugal,"Agueda, Portugal",40.5771128,-8.44627,5,5
Aguilar de Segarra,Spain,"Aguilar de Segarra, Spain",41.7392097,1.627507,1,
Ahar,"Iran, Islamic Republic of","Ahar, Iran, Islamic Republic of",38.4894305,47.0683575,1,
Ahaus,Germany,"Ahaus, Germany",52.0825322,7.0150057,1,1
Ahel,France,"Ahel, France",43.6709139,-1.1119366,1,
Ahfir,Morocco,"Ahfir, Morocco",34.9518203,-2.1033017,1,
Ahmadabad,India,"Ahmadabad, India",23.022505,72.5713621,1,
Ahmadabad-e Sowlat,"Iran, Islamic Republic of","Ahmadabad-e Sowlat, Iran, Islamic Republic of",35.1149334,60.6880338,1,
Ahmedabad,India,"Ahmedabad, India",23.022505,72.5713621,4,2
Ahorn,Germany,"Ahorn, Germany",50.2372775,10.9540775,1,1
Ahrntal,Italy,"Ahrntal, Italy",47.0020051,11.933166,1,1
Ahuacatlan,Mexico,"Ahuacatlan, Mexico",21.0533791,-104.4810648,1,
Ahualulco de Mercado,Mexico,"Ahualulco de Mercado, Mexico",20.6998901,-103.9753155,1,1
Ahvaz,"Iran, Islamic Republic of","Ahvaz, Iran, Islamic Republic of",31.3183272,48.6706187,1,1
Ahwaz,"Iran, Islamic Republic of","Ahwaz, Iran, Islamic Republic of",31.3183272,48.6706187,1,
Aichi,Japan,"Aichi, Japan",35.1801883,136.9065647,1,1
Aichkirchen,Austria,"Aichkirchen, Austria",48.109667,13.7922189,1,1
Aichwald,Germany,"Aichwald, Germany",48.7617612,9.3889875,1,
Aielli,Italy,"Aielli, Italy",42.0812978,13.5883558,1,1
Aiguafreda,Spain,"Aiguafreda, Spain",41.7831042,2.2679632,1,
Aïn Madhi,Algeria,"Aïn Madhi, Algeria",33.7946585,2.2999821,1,
Airuno,Italy,"Airuno, Italy",45.7537371,9.4252068,2,1
Aiseau-Presles,Belgium,"Aiseau-Presles, Belgium",50.4100045,4.586698,1,
Aït Melloul,Morocco,"Aït Melloul, Morocco",30.3306163,-9.5117328,1,
Aiud,Romania,"Aiud, Romania",46.3086633,23.724558,1,1
Aix Marseille Provence,France,"Aix Marseille Provence, France",43.296482,5.36978,1,1
Aiz Al Deen Salem,Egypt,"Aiz Al Deen Salem, Egypt",31.0419854,31.3907826,1,
Aizaria,Philippines,"Aizaria, Philippines",14.522776,121.000111,1,
